Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WC2_303.F	WC2_303.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3004585.0	438.6 Mbp	0.0	146.0	42.0	7.049098794869574	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC2_303.R	WC2_303.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3004585.0	453.6 Mbp	0.0	151.0	46.0	12.115124731737502	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC2_303.R1	WC2_303.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2978687.0	432 Mbp	0.0	31-146	41.0	6.814365104969071	145.0727008242222	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_303.R2	WC2_303.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2978687.0	445.8 Mbp	0.0	31-151	46.0	11.575565808353385	149.715163426033	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_304.F	WC2_304.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4085621.0	596.5 Mbp	0.0	146.0	40.0	4.277833842922272	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC2_304.R	WC2_304.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4085621.0	616.9 Mbp	0.0	151.0	45.0	8.62150211379038	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC2_304.R1	WC2_304.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4054010.0	589.8 Mbp	0.0	31-146	40.0	4.072263310749352	145.5116233063066	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_304.R2	WC2_304.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4054010.0	608.9 Mbp	0.0	31-151	45.0	7.986583952795556	150.23443504086077	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_305a.F	WC2_305a.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1614377.0	235.6 Mbp	0.0	146.0	41.0	6.047162465768529	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC2_305a.R	WC2_305a.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1614377.0	243.7 Mbp	0.0	151.0	45.0	10.951241209040028	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
